ID,ENTREZ_GENE_ID
A_33_P3285540,7122
A_23_P48964,26276
A_33_P3337604,10858
linc|TCONS_00005565,
A_21_P0005259,
A_33_P3275390,89792
A_32_P161033,
A_23_P99927,51495
A_33_P3391542,
linc|TCONS_00021301,
A_24_P410721,133491
A_24_P374461,219578
A_33_P3395083,341392
A_21_P0002036,
A_33_P3404970,221391
ens|ENST00000503382|ens|ENST00000510986|ens|ENST00000514532|tc|THC2695300,
A_33_P3610138,
linc|TCONS_00022897,
A_24_P382579,5020
A_33_P3313889,1861
ens|ENST00000415302|ens|ENST00000423523|tc|THC2779909|linc|TCONS_l2_00029552,
A_23_P95594,9
A_33_P3336915,
ens|ENST00000395453|tc|THC2536376,
A_23_P165130,84769
A_33_P3622802,10006
A_32_P26376,56983
A_23_P87150,9404
ens|ENST00000393559|tc|THC2637518,
A_33_P3218356,56900
linc|TCONS_l2_00019714|linc|TCONS_l2_00019715,
A_32_P206050,23329
A_23_P320897,163486
A_23_P147383,8733
A_33_P3318581,5352
A_33_P3244818,222194
A_24_P350649,55066
A_21_P0006106,
A_33_P3248265,4050
A_33_P3276703,7425
A_23_P337424,26135
A_33_P3305531,196074
A_21_P0005188,
A_23_P4161,22901
A_33_P3702906,10992
A_23_P327551,131034
A_23_P148273,84061
A_33_P3382331,
A_33_P3373243,
A_32_P136402,80145
A_24_P226355,10048
A_21_P0000840,
A_23_P383601,
A_21_P0011039,
A_23_P143958,200916
ens|ENST00000449694|linc|TCONS_00019144,
A_32_P423691,149685
linc|TCONS_00008336,
A_33_P3222007,286362
A_23_P363968,51279
A_24_P129232,57515
A_23_P160177,480
A_33_P3417547,
A_33_P3441021,387890
A_24_P281580,352954//729438
tc|THC2685596|linc|TCONS_00025504,
linc|TCONS_00023013,
A_32_P24376,
linc|TCONS_l2_00015083,
A_24_P362646,10190
A_33_P3250173,654502
A_33_P3283592,285679
A_19_P00316541,
A_23_P21324,117581
A_21_P0010720,
linc|TCONS_00018880|linc|TCONS_00018429,
A_21_P0000372,5876
ens|ENST00000409145,
linc|TCONS_00001146,
A_21_P0012968,
ens|ENST00000423914|tc|THC2628857|linc|TCONS_00016973,
A_21_P0000346,
linc|TCONS_00008407,
A_21_P0001950,
A_33_P3298159,5730//401562
A_23_P401098,125488
ens|ENST00000532199|tc|THC2697043|linc|TCONS_00019281,
A_21_P0014380,
A_23_P371765,84221
A_23_P164253,
A_23_P127964,5547
A_23_P40354,22919
A_24_P269895,220988
A_23_P413862,341019
A_21_P0003427,
A_32_P159334,5965
A_23_P254989,7224
A_23_P165180,8625
A_32_P113114,93134
A_23_P92672,100506658
A_23_P389250,341346
A_23_P48816,9153
A_23_P7901,83887
linc|TCONS_00006120|linc|TCONS_00006122|linc|TCONS_00006908,
A_23_P76622,1638
A_23_P61508,55584
A_33_P3521643,54776
A_33_P3390107,
A_24_P252078,11118
A_33_P3210637,219428
A_23_P256603,4301
A_21_P0014141,
A_23_P16225,54831
A_33_P3291567,203062
A_33_P3223648,100505876
A_32_P140489,392255
A_23_P115805,93426
linc|TCONS_l2_00023571|linc|TCONS_l2_00022571,
A_33_P3363016,2972
A_33_P3224045,1613
A_32_P79591,79788
A_33_P3397061,
A_33_P3241756,3551
A_24_P926631,1769
A_23_P131683,22924
A_23_P125505,5475
linc|TCONS_00020777,
A_21_P0004778,
